,CATEGORY,COMPANY/ORGANISATION,PHONE,EMAIL,WEBSITE,ADDRESS,LATLONG,
,Restaurant & bar,RockYard Lounge 0102030781,,,,"No2 , Club House, Cyberheights Villa, Jln Cyber 7",,
,Restaurant & bar,Sana’a Restaurant 0383191776,,,,"No. 13G, NeoCyber, Lingkaran Cyber Point Barat","2.917303,101.649734",
,Restaurant & bar,Secret Recipe 0383226077,,,,"P1, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.9233686,101.6611505",
,Restaurant & bar,Serai 0383226717,,,,"P3A-16&17, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.922908,101.661848",
,Restaurant & bar,Starbucks,,,,"Prima 5, Prima Avenue, Block 3515, Jalan Teknokrat 5","2.9212435,101.657771",
,Restaurant & bar,Subway 0383225288,,,,"P2-8&9, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923299,101.662062",
,Restaurant & bar,Sultan Restaurant 0383182676,,,,"No. 43G, NeoCyber, Lingkaran Cyber Point Barat","2.915083,101.651078",
,Restaurant & bar,Sumo Japanese Restaurant 0383187288,,,,"4809-0-31, CBD Perdana 2, Persiaran Flora, Cyber 12",,
,Restaurant & bar,Sysaban 03 8320 2320,,,,"Suite 4805-07-08, CBD Perdana 2, Cyber 12, Persiaran Flora","2.925355,101.651085",
,Restaurant & bar,Trulia 0197906972,,,,"4809-0-36, CBD Perdana 2, Cyber 12, Persiaran Flora","2.926513,101.651599",
,Restaurant & bar,Tappers Cafe 0383224788,,,,"P1, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923339,101.66239",
,Restaurant & bar,The Cooler 0383224788,,,,"Prima 3, Prima Avenue, Block 3503, Jalan Teknokrat 5",,
,Restaurant & bar,Tokiokafe 0383226890,,,,"Prima 3, Prima Avenue, Block 3503, Jalan Teknokrat 5","2.921219,101.65747",
,Restaurant & bar,Uncle ‘K’,,,,"Prima 4, Prima Avenue, Block 3513, Jalan Teknokrat 5","2.921247, 101.656592",
,Restaurant & bar,Volcano Shabu Shabu 0383191928,,,,"P3-17, Shaftsbury Square, Persiaran Multimedia, Cyber 6",,
,Restaurant & bar,Where Else Delights,,,,"Prima 4, Prima Avenue, Block 3513, Jalan Teknokrat 5","2.921327,101.656446",
,Restaurant & bar,What's Not 0 1 1 1 8 8 4 4 1 4,,,,"3-G- Block-A, Biz Avenue 1, Neo Cyber, Lingkaran Cyber Point Barat",,
,Restaurant & bar,Zhia Kitchen 0383209387,,,,"Prima 11, Prima Avenue, Block 3545, Jalan Teknokrat 6",,
,Business & Professional Service,Adam’s Laundry 0192509593,,,,"No. 49G, NeoCyber, Lingkaran Cyber Point Barat","2.9170965,101.6492947",
,Business & Professional Service,A'Gym Solutions 0127470659,,,,"93A-1 NeoCyber, Lingkaran Cyber Point Barat","2.915568, 101.651051",
,Business & Professional Service,Araxa (The Print House) 0383221339,,,,"47-G, NEO Cyber, Lingkaran Cyber Point Barat","2.915623,101.650378",
,Business & Professional Service,Azifa Trading 0383192122,,,,"48G, Biz Avenue II, NeoCyber, Lingkaran Cyber Point Barat","2.917764,101.649628",
,Business & Professional Service,Bio Green 0 3 8 8 0 0 9 7 6 8,,,,"LG-02, D'Pulze, Lingkaran Cyber Point Timur, Cyber 12","2.921682,101.650852",
,Business & Professional Service,Brachtia Maju 0 1 7 2 7 4 5 3 5 7,,,,B-8-8 The Arc,,
,Business & Professional Service,Cempaka Sari Florist & Gifts 0383185022,,,,"Shaftsbury Square, unit P5-09","2.92283,101.657218",street mall
,Business & Professional Service,Cristal Residence Sales Gallery 0 3 8 3 2 0 9 9 8 8,,,,"Jalan Fauna 1, Off Persiaran Ceria, Cyber 9","2.91878,101.646258",
,Business & Professional Service,CyberADS Magazine 0383182176,,,,"97-1, NeoCyber, Lingkaran Cyber Point Barat","2.915751,101.649517",
,Business & Professional Service,CyberHome Decor 03832501116,,,,"33A-G, Business Avenue 2, Neocyber Lingkaran Point Barat",,
,Business & Professional Service,Cyberjaya Properties 0 3 8 6 8 8 2 1 2 0,,,,"Primera Suite, Lobby, JLN Teknokrat 6, Cyber 5","2.919018,101.654605",
,Business & Professional Service,D’Beauty 0383220176,,,,"P3-23A, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923369,101.66115",
,Business & Professional Service,DHL Cyberjaya 0380643977,,,,"3509 & 3511, Jalan Teknorat 5","2.9291235,101.6487526",
,Business & Professional Service,D'PULZE Shopping Center 0388009803,,,,"Lingkaran Cyber Point Timur, Cyber 12","2.921682,101.650852",
,Business & Professional Service,E.C.L Laundry 0382130229,,,,"No. 30G, Lingkaran Cyber Point Barat","2.916447,101.650411",
,Business & Professional Service,EOC Tech PLT 0383209828,,,,"No.9, Cottage Walk, Off Persiaran Apec",,
,Business & Professional Service,GO! (Cycling & Hobby Store) 03-8322-2808,,,,"2-1 Neocyber, Lingkaran Cyber Point Barat","2.923401,101.662471",
,Business & Professional Service,Guardian 0 3 8 3 1 8 1 2 9 1,,,,"P1, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.9233686,101.6611505",
,Business & Professional Service,Han Neuro Acupuncture 0 3 8 8 0 0 0 3 3 7,,,,"P5-2&3, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923465,101.662352",
,Business & Professional Service,Hyve 0 3 8 3 2 5 1 8 1 1,,,,"Unit P2-11, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923369,101.66115",
,Business & Professional Service,iP Studio Sdn Bhd 0 3 8 3 1 8 2 1 7 6,,,,"No. 97-1, NeoCyber, Lingkaran Cyber Point Barat","2.915702,101.649512",
,Business & Professional Service,Innovate Mental Arithmetic Sdn Bhd 0 3 8 3 2 2 1 1 6 6,,,,"A-1-5, Jalan GC1, Glomac Cyberjaya, Jalan Teknokrat 3",,
,Business & Professional Service,Kanda Beauty 0 3 8 3 1 9 3 4 7 5,,,,"Sp-6, The Street Mall, Persiaran Multimedia",,
,Business & Professional Service,KK Mart 0 1 6 3 3 0 8 3 1 2,,,,"P1, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923369,101.66115",
,Business & Professional Service,Kuick Click 0 1 4 6 6 0 7 5 6 4,,,,www.kuickclick.com,,
,Business & Professional Service,Mahan Global 0 3 8 3 2 2 0 9 3 5,,,,"G-27, NeoCyber, Lingkaran Cyber Point Barat","2.916232,101.650636",
,Business & Professional Service,"MBE (Postal Service, Mailboxes, Etc.) 0 3 8 3 1 8 1 8 8 8",,,,"P3-19, Shaftsbury Square, Persiaran Multimedia, Cyber 6",,
,Business & Professional Service,MCT 0 1 9 4 1 0 9 9 8 8,,,,"LakeFront Show Gallery, Persiaran Semarak Api",,
,Business & Professional Service,M&T Groceries 0 3 8 3 1 1 9 2 6 5,,,,"No.4, Club House, Cyberheights Villa, Jln Cyber 7",,
,Business & Professional Service,M&T Laundry 0 10 2 0 3 0 7 9 3,,,,"No.7, Club House, Cyberheights Villa, Jln Cyber 7",,
,Business & Professional Service,MMC Stationery 0 3 8 3 2 2 6 8 4 8,,,,"P3-19, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923369,101.66115",
,Business & Professional Service,Mutiara Ville 0 1 3 3 7 3 7 0 3 7,,,,Persiaran Multimedia,"2.922274,101.6341495",
,Business & Professional Service,My Water Concept 0 3 8 9 4 0 9 0 0 1,,,,"No 11-G, Block A, JLN Atmosphere 2, Bandar Putra Permai, Seri kembangan","2.981241,101.663838",
,Business & Professional Service,Namiza Printing 0 3 8 3 2 2 5 7 9 6,,,,"C-1-10, Jalan GC, Glomac Cyberjaya, Cyber 12","2.924084,101.655895",
,Business & Professional Service,Nasska Communication 0 3 8 3 2 2 5 3 2 2,,,,"No. 61G, Biz Avenue II, NeoCyber, Lingkaran Cyber Point Barat","2.915316,101.650502",
,Business & Professional Service,PAM Express 0 3 8 3 2 2 2 5 5 5,,,,"No. 66G, Biz Avenue II, NeoCyber, Lingkaran Cyber Point Barat","2.914941,101.650513",
,Business & Professional Service,Pharmart 0 3 8 3 2 5 1 8 1 9,,,,"P1-18, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923369,101.66115",
,Business & Professional Service,Pressto Dry Cleaning 0 3 8 3 2 2 6 6 8 9,,,,"P1-27, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923369,101.66115",
,Business & Professional Service,Propaganda Boutique 0 3 8 3 2 0 2 0 15,,,,"No. 60G, Biz Avenue II, NeoCyber, Lingkaran Cyber Point Barat",,
,Business & Professional Service,P Pro Hair Salon 0 3 8 3 2 2 3 6 68,,,,"A-8 BLOK A, JALAN GC1, GLOMAC CYBERJAYA 12",,
,Business & Professional Service,RockSoft SDN BHD 0 3 8 3 1 9 3 6 1 5,,,,"LG-01, SME Technopreneur Centre 3, Block 3740, Persiaran Apec, Cyber 8","2.908451, 101.655168",
,Business & Professional Service,Salina’z Beauty 0 1 3 2 8 5 1 3 6 3,,,,"P3A, Shaftsbury Square, Persiaran Multimedia, Cyber 6",,
,Business & Professional Service,Sam Hiew Electrical Hardware 0 3 8 3 1 8 3 1 3 3,,,,"10G, NeoCyber, Lingkaran Cyber Point Barat","2.917566,101.649676",
,Business & Professional Service,SH Technology 0 3 8 3 1 2 8 0 30,,,,"The Lodge, Persiaran Multimedia, Cyber 7",,
,Business & Professional Service,Sterling Prima 0 3 8 3 1 1 9090,,,,"Lot 5G & 6G, Neocyber, Lingkaran Cyber Point Barat, Cyber 12",,
,Business & Professional Service,Styliston 0 3 8 3 1 9 1 9 9,,,,"P2, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923413, 101.661942",
,Business & Professional Service,Setia Haruman Technology 0 3 8 3 1 2 80 30,,,,"The Lodge, Persiaran Multimedia, Cyber 7","2.924124, 101.666671",
,Business & Professional Service,Symphony Hills SDN BHD 0 3 8 3 1 2 7 8 0 0,,,,"Clubhouse Symphony Hills, Persiaran Simfoni, Cyber 9","2.924364,101.667392",
,Business & Professional Service,Taska i-Play 0 3 8 3 1 8 6 5 1 1,,,,"L2, Block Cafeteria, MKN Embassy Techzone","2.921568,101.655506,",
,Business & Professional Service,TEE Land 0 1 02 000 700,,,,"Blk 4805-00-01, CBD Perdana 2, Jln Perdana, Cyber 12",,
,Business & Professional Service,The Salon 0 3 8 3 2 0 2 0 1 5,,,,"No. 60G, Biz Avenue II, NeoCyber, Lingkaran Cyber Point Barat",,
,Business & Professional Service,TM Unifi 0 3 8 3 2 5 1 8 1 8,,,,"P2-20, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923365, 101.661279",
,Business & Professional Service,Vo2 Physioclinic 0 3 8 3 2 2 0 8 6 0,,,,"P5, Shaftsbury Square, Persiaran Multimedia, Cyber 6",,
,Business & Professional Service,Yahya Car Rental 0 1 2 2 7 2 5 9 7 0,,,,"32/G, Lingkaran Cyber Point Barat Domain",,
,Bank,Affin Bank 0383181960,,,,"P1, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923438, 101.661888",
,Bank,CIMB Bank 0383182961,,,,"Prima 5-A, Prima Avenue, Jalan Teknokrat 5","2.921188, 101.655892",
,Bank,HSBC 0 3 2 1 8 2 5 9 3 9,,,,"P1, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923235, 101.660880",
,Bank,Maybank 0 3 8 3 1 8 9 7 4 4,,,,"Prima 5-B, Prima Avenue, Jalan Teknokrat 5","2.921137, 101.656278",
,Hotel,Cyberview Resort & Spa,8312 7000,,,Persiaran Multimedia,"2.923952, 101.667918",
,Hotel,Tune Hotels,8800 9103,,,"DPulze, Block D, Cyberjaya CBD, Persiaran Multimedia, Cyber 12, 63000 Cyberjaya, Selangor, Malaysia","2.922119, 101.651408",
,Hotel,Tanya Hotel,8688 8888,,,"Jalan Teknokrat 6, Cyber 5, 63000 Cyberjaya, Selangor, Malaysia","2.920132, 101.655035",
,Hotel,Shaftsbury Residences,8601 0308,,,"B-G-10, Jalan Impact, Cyber 6, 63000 Cyberjaya, Selangor, Malaysia","2.922193, 101.660718",
,Hotel,Z Hotel,8688 2469,,http://z-hotel.com/,"4809-33A CBD Perdana, Persiaran Flora, Cyber 12",,
,Hotel,Citadines Dpulze,8689 9888,,,"Lingkaran Cyber Point Timur, Cyber 12, 63000 Cyberjaya, Selangor, Malaysia","2.922072, 101.651077",
,Day & Child Care Centres,Taska i-play @ Techzone,+603-8318 6511,,,"2nd Floor, Block E, MKN Embassy Techzone, Jalan Teknokrat 2, 63000 Cyberjaya","2.935769, 101.656072",
,Day & Child Care Centres,R.E.A.L Kids,+603-8318 5661,,,"Axis Eureka, 3539 Jalan Teknokrat 7, 63000 Cyberjaya","2.915634, 101.656095",
,Day & Child Care Centres,iKids Chilcare,+603-8320 9613,,,"P1-03 Shaftsbury Square, Persiaran Multimedia, 63000 Cyberjaya","2.923381, 101.661728",
,Day & Child Care Centres,kitchen Village 0383202898,+603-8322 0718,,,"P1-32A Shaftsbury Square, Persiaran Multimedia, 63000 Cyberjaya","2.92333, 101.66116 ",
,Day & Child Care Centres,Little Caliphs Kindergarten,+6013-359 5020,,,"No 1-12, Block A Jalan GC1, Glomac Cyberjaya Cyber 12, 63200 Cyberjaya","2.924834, 101.656116",
,Day & Child Care Centres,Comelku Daycare,+6013-295 3424,,,"Glomac, 1-7 & 1-6 Block F, Glomac, 63000 Cyberjaya","2.929133, 101.648756",
,Day & Child Care Centres,Cyberview Childcare Centre,+6016-356 3033 / +6017-633 7173,,,"SME Technopreneur Centre, 2270 Jalan Usahawan 2, Cyber 6, 63000 Cyberjaya","2.927068, 101.662533",
,Day & Child Care Centres,San Lorenzo Montessori,+603-5191 8859,,,"Persiaran Flora, 63000 Cyberjaya",,
,Schools,SRK Cyberjaya,603-8318 8211,,,"Persiaran Fauna 2, Zon Flagship 2, 63000 Cyberjaya","2.919562, 101.638458",
,Schools,SMK Cyberjaya,+603-8318 8088,,,"Jalan Fauna 1 Dengkil, 63000 Sepang","2.919780, 101.63974",
,Schools,Sekolah Seri Puteri,+603-8319 2414,,,"Sekolah Seri Puteri, Persiaran Tasik, 63000 Cyberjaya","2.910993, 101.664413",
,Schools, elc International School,+603-8319 1641,,,"Lingkaran Cyber Point Barat, 63000 Cyberjaya","2.926759, 101.647757",
